# Reference      : Molina and Molina, JGR, vol. 91, pp 14501-14508, 1986 
# Comments       : Table 1 in Molina and Molina (1986), got this from
# Comments       : Tapani Koskela, FMI, Finland, thanks.
#lambda	226K	263K	298K
#
808.0   0.0184    0.0184   0.0184   
809.0   0.0187    0.0187   0.0187   
810.0   0.0190    0.0190   0.0190   
811.0   0.0189    0.0189   0.0189   
812.0   0.0188    0.0188   0.0188   
813.0   0.0187    0.0187   0.0187   
814.0   0.0186    0.0186   0.0186   
815.0   0.0185    0.0185   0.0185   
816.0   0.0182    0.0182   0.0182   
817.0   0.0179    0.0179   0.0179   
818.0   0.0176    0.0176   0.0176   
819.0   0.0173    0.0173   0.0173   
820.0   0.0170    0.0170   0.0170   
821.0   0.0166    0.0166   0.0166   
822.0   0.0163    0.0163   0.0163   
823.0   0.0159    0.0159   0.0159   
824.0   0.0156    0.0156   0.0156   
825.0   0.0152    0.0152   0.0152   
826.0   0.0150    0.0150   0.0150   
827.0   0.0148    0.0148   0.0148   
828.0   0.0146    0.0146   0.0146   
829.0   0.0144    0.0144   0.0144   
